repo_name,error
kubernetes/kubernetes,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
containerd/containerd,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
cilium/cilium,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
envoyproxy/envoy,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
istio/istio,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
hashicorp/terraform,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
prometheus/prometheus,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
grafana/grafana,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
argoproj/argo-cd,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
apache/airflow,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
apache/spark,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
apache/kafka,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
elastic/elasticsearch,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
opensearch-project/OpenSearch,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
ClickHouse/ClickHouse,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
redis/redis,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
etcd-io/etcd,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
rook/rook,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
k3s-io/k3s,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
helm/helm,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
cert-manager/cert-manager,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
fluxcd/flux2,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
minio/minio,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
apache/flink,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
trinoio/trino,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
apache/hadoop,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
apache/hive,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
vitessio/vitess,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
temporalio/temporal,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
netdata/netdata,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
jenkinsci/jenkins,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
scikit-learn/scikit-learn,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
pytorch/pytorch,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
tensorflow/tensorflow,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
huggingface/transformers,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
pandas-dev/pandas,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
numpy/numpy,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
matplotlib/matplotlib,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
streamlit/streamlit,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
mlflow/mlflow,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
feast-dev/feast,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
ray-project/ray,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
dask/dask,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
kedro-org/kedro,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
PrefectHQ/prefect,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
dagster-io/dagster,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
bentoml/BentoML,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
jina-ai/jina,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
langchain-ai/langchain,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
deepspeedai/DeepSpeed,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
vllm-project/vllm,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
Lightning-AI/pytorch-lightning,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
django/django,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
pallets/flask,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
fastapi/fastapi,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
spring-projects/spring-boot,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
expressjs/express,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
nestjs/nest,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
gin-gonic/gin,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
gorilla/mux,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
encode/uvicorn,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
tiangolo/sqlmodel,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
sqlalchemy/sqlalchemy,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
prisma/prisma,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
supabase/supabase,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
appwrite/appwrite,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
strapi/strapi,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
facebook/react,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
vuejs/core,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
angular/angular,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
sveltejs/svelte,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
vercel/next.js,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
nuxt/nuxt,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
tailwindlabs/tailwindcss,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
vitejs/vite,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
webpack/webpack,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
storybookjs/storybook,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
electron/electron,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
tauri-apps/tauri,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
rust-lang/rust,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
golang/go,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
llvm/llvm-project,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
python/cpython,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
ziglang/zig,build_repo_dataframe() got an unexpected keyword argument 'repo_name'
