repo_name,error
kubernetes/kubernetes,name 'build_repo_dataframe' is not defined
containerd/containerd,name 'build_repo_dataframe' is not defined
cilium/cilium,name 'build_repo_dataframe' is not defined
envoyproxy/envoy,name 'build_repo_dataframe' is not defined
istio/istio,name 'build_repo_dataframe' is not defined
hashicorp/terraform,name 'build_repo_dataframe' is not defined
prometheus/prometheus,name 'build_repo_dataframe' is not defined
grafana/grafana,name 'build_repo_dataframe' is not defined
argoproj/argo-cd,name 'build_repo_dataframe' is not defined
apache/airflow,name 'build_repo_dataframe' is not defined
apache/spark,name 'build_repo_dataframe' is not defined
apache/kafka,name 'build_repo_dataframe' is not defined
elastic/elasticsearch,name 'build_repo_dataframe' is not defined
opensearch-project/OpenSearch,name 'build_repo_dataframe' is not defined
ClickHouse/ClickHouse,name 'build_repo_dataframe' is not defined
redis/redis,name 'build_repo_dataframe' is not defined
etcd-io/etcd,name 'build_repo_dataframe' is not defined
rook/rook,name 'build_repo_dataframe' is not defined
k3s-io/k3s,name 'build_repo_dataframe' is not defined
helm/helm,name 'build_repo_dataframe' is not defined
cert-manager/cert-manager,name 'build_repo_dataframe' is not defined
fluxcd/flux2,name 'build_repo_dataframe' is not defined
minio/minio,name 'build_repo_dataframe' is not defined
apache/flink,name 'build_repo_dataframe' is not defined
trinoio/trino,name 'build_repo_dataframe' is not defined
apache/hadoop,name 'build_repo_dataframe' is not defined
apache/hive,name 'build_repo_dataframe' is not defined
vitessio/vitess,name 'build_repo_dataframe' is not defined
temporalio/temporal,name 'build_repo_dataframe' is not defined
netdata/netdata,name 'build_repo_dataframe' is not defined
jenkinsci/jenkins,name 'build_repo_dataframe' is not defined
scikit-learn/scikit-learn,name 'build_repo_dataframe' is not defined
pytorch/pytorch,name 'build_repo_dataframe' is not defined
tensorflow/tensorflow,name 'build_repo_dataframe' is not defined
huggingface/transformers,name 'build_repo_dataframe' is not defined
pandas-dev/pandas,name 'build_repo_dataframe' is not defined
numpy/numpy,name 'build_repo_dataframe' is not defined
matplotlib/matplotlib,name 'build_repo_dataframe' is not defined
streamlit/streamlit,name 'build_repo_dataframe' is not defined
mlflow/mlflow,name 'build_repo_dataframe' is not defined
feast-dev/feast,name 'build_repo_dataframe' is not defined
ray-project/ray,name 'build_repo_dataframe' is not defined
dask/dask,name 'build_repo_dataframe' is not defined
kedro-org/kedro,name 'build_repo_dataframe' is not defined
PrefectHQ/prefect,name 'build_repo_dataframe' is not defined
dagster-io/dagster,name 'build_repo_dataframe' is not defined
bentoml/BentoML,name 'build_repo_dataframe' is not defined
jina-ai/jina,name 'build_repo_dataframe' is not defined
langchain-ai/langchain,name 'build_repo_dataframe' is not defined
deepspeedai/DeepSpeed,name 'build_repo_dataframe' is not defined
vllm-project/vllm,name 'build_repo_dataframe' is not defined
Lightning-AI/pytorch-lightning,name 'build_repo_dataframe' is not defined
django/django,name 'build_repo_dataframe' is not defined
pallets/flask,name 'build_repo_dataframe' is not defined
fastapi/fastapi,name 'build_repo_dataframe' is not defined
spring-projects/spring-boot,name 'build_repo_dataframe' is not defined
expressjs/express,name 'build_repo_dataframe' is not defined
nestjs/nest,name 'build_repo_dataframe' is not defined
gin-gonic/gin,name 'build_repo_dataframe' is not defined
gorilla/mux,name 'build_repo_dataframe' is not defined
encode/uvicorn,name 'build_repo_dataframe' is not defined
tiangolo/sqlmodel,name 'build_repo_dataframe' is not defined
sqlalchemy/sqlalchemy,name 'build_repo_dataframe' is not defined
prisma/prisma,name 'build_repo_dataframe' is not defined
supabase/supabase,name 'build_repo_dataframe' is not defined
appwrite/appwrite,name 'build_repo_dataframe' is not defined
strapi/strapi,name 'build_repo_dataframe' is not defined
facebook/react,name 'build_repo_dataframe' is not defined
vuejs/core,name 'build_repo_dataframe' is not defined
angular/angular,name 'build_repo_dataframe' is not defined
sveltejs/svelte,name 'build_repo_dataframe' is not defined
vercel/next.js,name 'build_repo_dataframe' is not defined
nuxt/nuxt,name 'build_repo_dataframe' is not defined
tailwindlabs/tailwindcss,name 'build_repo_dataframe' is not defined
vitejs/vite,name 'build_repo_dataframe' is not defined
webpack/webpack,name 'build_repo_dataframe' is not defined
storybookjs/storybook,name 'build_repo_dataframe' is not defined
electron/electron,name 'build_repo_dataframe' is not defined
tauri-apps/tauri,name 'build_repo_dataframe' is not defined
rust-lang/rust,name 'build_repo_dataframe' is not defined
golang/go,name 'build_repo_dataframe' is not defined
llvm/llvm-project,name 'build_repo_dataframe' is not defined
python/cpython,name 'build_repo_dataframe' is not defined
ziglang/zig,name 'build_repo_dataframe' is not defined
denoland/deno,name 'build_repo_dataframe' is not defined
tokio-rs/tokio,name 'build_repo_dataframe' is not defined
BurntSushi/ripgrep,name 'build_repo_dataframe' is not defined
sharkdp/bat,name 'build_repo_dataframe' is not defined
sharkdp/fd,name 'build_repo_dataframe' is not defined
neovim/neovim,name 'build_repo_dataframe' is not defined
tmux/tmux,name 'build_repo_dataframe' is not defined
git/git,name 'build_repo_dataframe' is not defined
