path,key,dtype,example_value,is_github_api_url,fetch_status,error_message,depth
fork,fork,bool,False,False,,,0
created_at,created_at,str,2010-08-24T01:37:33Z,False,,,0
updated_at,updated_at,str,2026-04-28T10:37:26Z,False,,,0
pushed_at,pushed_at,str,2026-04-28T02:35:44Z,False,,,0
size,size,int,390274,False,,,0
stargazers_count,stargazers_count,int,48597,False,,,0
forks_count,forks_count,int,19881,False,,,0
subscribers_count,subscribers_count,int,1113,False,,,0
open_issues_count,open_issues_count,int,3428,False,,,0
network_count,network_count,int,19881,False,,,0
has_issues,has_issues,bool,True,False,,,0
has_projects,has_projects,bool,True,False,,,0
has_downloads,has_downloads,bool,True,False,,,0
has_wiki,has_wiki,bool,False,False,,,0
has_pages,has_pages,bool,False,False,,,0
has_discussions,has_discussions,bool,False,False,,,0
archived,archived,bool,False,False,,,0
disabled,disabled,bool,False,False,,,0
allow_forking,allow_forking,bool,True,False,,,0
has_pull_requests,has_pull_requests,bool,True,False,,,0
contributors_url,contributors_url,str,https://api.github.com/repos/pandas-dev/pandas/contributors,True,,,0
contributors_url.__api_fetch__,__api_fetch__,list,https://api.github.com/repos/pandas-dev/pandas/contributors,True,success,,0
contributors_url.__api__[0],[0],dict,"{'login': 'jbrockmendel', 'id': 8078968, 'node_id': 'MDQ6VXNlcjgwNzg5Njg=', 'avatar_url': 'https://avatars.githubusercontent.com/u/8078968?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/jbrockmendel', 'html_url': 'https://github.com/jbrockmendel', 'followers_url': 'https://api.github.com/users/jbrockmendel/followers', 'following_url': 'https://api.github.com/users/jbrockmendel/following{/other_user}', 'gists_url': 'https://api.github.com/users/jbrockmendel/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/jbrockmendel/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/jbrockmendel/subscriptions', 'organizations_url': 'https://api.github.com/users/jbrockmendel/orgs', 'repos_url': 'https://api.github.com/users/jbrockmendel/repos', 'events_url': 'https://api.github.com/users/jbrockmendel/events{/privacy}', 'received_events_url': 'https://api.github.com/users/jbrockmendel/received_events', 'type': 'User', 'user_view_type': 'public', 'site_admin': False, 'contributions': 5289}",False,,,1
contributors_url.__api__[1],[1],dict,"{'login': 'jreback', 'id': 953992, 'node_id': 'MDQ6VXNlcjk1Mzk5Mg==', 'avatar_url': 'https://avatars.githubusercontent.com/u/953992?v=4', 'gravatar_id': '', 'url': 'https://api.github.com/users/jreback', 'html_url': 'https://github.com/jreback', 'followers_url': 'https://api.github.com/users/jreback/followers', 'following_url': 'https://api.github.com/users/jreback/following{/other_user}', 'gists_url': 'https://api.github.com/users/jreback/gists{/gist_id}', 'starred_url': 'https://api.github.com/users/jreback/starred{/owner}{/repo}', 'subscriptions_url': 'https://api.github.com/users/jreback/subscriptions', 'organizations_url': 'https://api.github.com/users/jreback/orgs', 'repos_url': 'https://api.github.com/users/jreback/repos', 'events_url': 'https://api.github.com/users/jreback/events{/privacy}', 'received_events_url': 'https://api.github.com/users/jreback/received_events', 'type': 'User', 'user_view_type': 'public', 'site_admin': False, 'contributions': 4731}",False,,,1
