dataset_name,model_name,num_features,roc_auc_mean,roc_auc_std,f1_mean,accuracy_mean,precision_mean,recall_mean
all_features,LogisticRegression,101,0.9920282369146005,0.003288241954601931,0.9579129962257802,0.9574358974358974,0.9533756684491979,0.9634469696969697
low_corr_features,LogisticRegression,77,0.9918503213957759,0.004293604441049037,0.9550225533353374,0.9544055944055945,0.9475044563279857,0.9634469696969697
top_40_aggregate,LogisticRegression,40,0.9889003673094582,0.005412577379973147,0.9515747117481095,0.9513752913752913,0.9526978650697815,0.9513257575757577
top_50_aggregate,LogisticRegression,50,0.9879763544536271,0.0042119704159570255,0.9462065509742725,0.9452680652680654,0.943155929038282,0.9513257575757577
top_30_low_corr,SVC_RBF,30,0.9879706152433425,0.006010994708373288,0.940774347458898,0.9421445221445222,0.9641366223908918,0.9208333333333334
top_40_aggregate,SVC_RBF,40,0.9868916437098255,0.008117167008207906,0.9423343218030127,0.9422843822843824,0.9425640777364915,0.9452651515151516
top_50_aggregate,SVC_RBF,50,0.986880165289256,0.007874698466306125,0.9311339232662762,0.9300233100233101,0.9253868316368316,0.9392045454545455
top_30_low_corr,LogisticRegression,30,0.9857552800734618,0.006637505249509595,0.9313833248245693,0.9301165501165501,0.9264602683178534,0.9392045454545455
top_50_aggregate,LightGBM,50,0.9832070707070708,0.00935724336768315,0.9062225636523266,0.9056876456876457,0.8987333965844403,0.9147727272727273
top_40_aggregate,XGBoost,40,0.9813820018365472,0.012205337129625219,0.9307814281124202,0.93006993006993,0.922931627196333,0.9392045454545455
all_features,SVC_RBF,101,0.980802341597796,0.009677847043406499,0.9103318903318904,0.9119813519813519,0.9224497224497223,0.9028409090909092
top_30_aggregate,LogisticRegression,30,0.98073347107438,0.008200638665720267,0.9298372532041336,0.93006993006993,0.9296479992676188,0.9331439393939395
family_ablation_selected,LogisticRegression,40,0.9806932966023876,0.014572830252016333,0.9282809100278657,0.9271328671328671,0.9187739450618958,0.9392045454545455
top_50_aggregate,CatBoost,50,0.9802858126721763,0.013006448507613982,0.9273952762923351,0.9269930069930071,0.9228218824186566,0.9329545454545455
top_40_aggregate,LightGBM,40,0.9795454545454545,0.013174586912367982,0.9069160272804775,0.9056876456876457,0.8946530977982592,0.9208333333333334
top_20_aggregate,LogisticRegression,20,0.9791035353535353,0.010848753160777479,0.9163184804243469,0.9148251748251749,0.9044444444444444,0.9331439393939395
top_40_aggregate,CatBoost,40,0.9788108356290174,0.01340439957856443,0.9310919304576022,0.9299766899766899,0.9185612082670905,0.9450757575757576
family_ablation_selected,CatBoost,40,0.9786329201101929,0.013990937546870256,0.9249950985508493,0.924055944055944,0.9174178762414057,0.9331439393939395
top_50_aggregate,HistGradientBoosting,50,0.9786271808999082,0.013914613250471379,0.911089706313587,0.9088578088578089,0.8963867610926435,0.9270833333333333
top_50_aggregate,XGBoost,50,0.9786042240587693,0.012243157476471145,0.9307756006065928,0.9300233100233101,0.922931627196333,0.9390151515151516
family_ablation_selected,XGBoost,40,0.9779097796143251,0.016805211340531825,0.9311320563494476,0.9302097902097902,0.9237373737373737,0.9393939393939394
all_features,HistGradientBoosting,101,0.9777318640955004,0.018898871765310694,0.9134221938436161,0.9118414918414919,0.8947491723962312,0.9333333333333332
top_30_aggregate,XGBoost,30,0.9776629935720844,0.012024085224849596,0.9284734872970167,0.926946386946387,0.913373405873406,0.9452651515151516
top_30_low_corr,XGBoost,30,0.9775309917355373,0.015038592788090664,0.9334823465969209,0.933053613053613,0.9284351922587216,0.9390151515151516
top_30_low_corr,CatBoost,30,0.9775137741046832,0.013615090708936453,0.9232790849029457,0.920979020979021,0.903485987696514,0.9452651515151516
low_corr_features,SVC_RBF,77,0.9775022956841137,0.01306414963403967,0.8969138019262752,0.8996736596736596,0.9128659870595355,0.884659090909091
family_ablation_selected,SVC_RBF,40,0.9772038567493112,0.018288321144506327,0.9207484850027615,0.921025641025641,0.9185988748488748,0.9270833333333334
top_20_aggregate,SVC_RBF,20,0.977106290174472,0.012645479574253004,0.9184456964604024,0.9179953379953381,0.9120909383409384,0.9270833333333334
top_40_aggregate,HistGradientBoosting,40,0.9769570707070706,0.014216662194426924,0.9146930312151997,0.911934731934732,0.8977507157654216,0.9331439393939395
all_features,LightGBM,101,0.9764118457300276,0.01837974365202901,0.9048447016840344,0.9027039627039628,0.8845843742902566,0.9270833333333334
top_50_aggregate,ExtraTrees,50,0.9764061065197428,0.016043945670005076,0.9093367644197998,0.9056410256410257,0.87846064539176,0.9450757575757576
shap_top_25,CatBoost,25,0.9760158402203857,0.016004314504669243,0.9279045859543021,0.926946386946387,0.919081973737172,0.9392045454545455
all_features,ExtraTrees,101,0.9758838383838384,0.018664143036348342,0.915406517197562,0.9117948717948717,0.883915363915364,0.9513257575757577
all_features,XGBoost,101,0.975872359963269,0.017177815917807638,0.9188602442333785,0.9178554778554778,0.905169340463458,0.9331439393939395
top_30_low_corr,ExtraTrees,30,0.9758149678604224,0.015123210058319514,0.9093245548742711,0.9055944055944055,0.8787229218150271,0.9450757575757576
shap_top_25,LogisticRegression,25,0.9757518365472911,0.010882638422048433,0.8984380061215415,0.8965034965034965,0.9000120623104493,0.9026515151515152
family_ablation_selected,LightGBM,40,0.9757059228650137,0.016997692279678477,0.9129699098092425,0.9118881118881118,0.8994143111790172,0.9272727272727274
top_30_aggregate,SVC_RBF,30,0.9754247015610652,0.013519569583299855,0.9078606878616953,0.9057808857808858,0.8869144549315326,0.9331439393939395
family_ablation_selected,ExtraTrees,40,0.9753443526170799,0.018848386194540347,0.9117712842712843,0.9088111888111887,0.8882119007119007,0.9390151515151516
top_30_aggregate,LightGBM,30,0.9753271349862258,0.016221108037753007,0.9003590646877451,0.8995337995337996,0.9014819312479982,0.9026515151515152
shap_top_25,SVC_RBF,25,0.9752467860422407,0.012767873956569547,0.9127754259132693,0.9117016317016317,0.9039481381586645,0.9270833333333334
shap_top_25,XGBoost,25,0.9752295684113866,0.013713979579500086,0.93044360051713,0.9299766899766901,0.9240451846903459,0.9392045454545455
top_25_aggregate,LogisticRegression,25,0.9750229568411386,0.00942114749581678,0.9125417038548175,0.9117948717948717,0.9027230193178468,0.9270833333333334
family_ablation_selected,HistGradientBoosting,40,0.9749713039485768,0.017929098191906873,0.917243552467433,0.915011655011655,0.9028038733921087,0.9333333333333332
all_features,CatBoost,101,0.9747532139577594,0.017746232157672796,0.9216644052464948,0.9208857808857809,0.9106951871657755,0.9331439393939395
top_25_aggregate,SVC_RBF,25,0.9745121671258035,0.014704282367645516,0.9129500880816744,0.9118414918414919,0.8954204123384188,0.9331439393939395
top_30_low_corr,LightGBM,30,0.9743916437098255,0.015557437709548804,0.9117920203218288,0.9087179487179486,0.8952066202825216,0.9327651515151516
top_30_aggregate,CatBoost,30,0.9743457300275482,0.015704088165156494,0.9052040769687828,0.9026107226107227,0.8864781052281053,0.9268939393939395
top_40_aggregate,ExtraTrees,40,0.973662764003673,0.018799189565851828,0.9149741310675769,0.9117948717948717,0.8882261529320352,0.9450757575757576
top_30_aggregate,HistGradientBoosting,30,0.9732438016528924,0.014103910473457527,0.9068242578317205,0.9057342657342657,0.9002881558028616,0.9147727272727273
top_20_aggregate,XGBoost,20,0.9730601469237831,0.014990234981667162,0.9213424932195211,0.9208857808857809,0.9167483660130719,0.9268939393939395
shap_top_25,HistGradientBoosting,25,0.9728822314049588,0.015372879443787643,0.9093446458185264,0.9086713286713287,0.9077491120517684,0.9147727272727273
low_corr_features,XGBoost,77,0.9723599632690542,0.018904922088878187,0.9195732567110969,0.9179487179487179,0.9008403361344538,0.9392045454545453
low_corr_features,HistGradientBoosting,77,0.9720328282828282,0.021270225671287828,0.9201817001946788,0.9179953379953381,0.8965826330532213,0.9454545454545453
