feature,family,permutation_importance_mean,permutation_importance_std
is_monolingual,language,0.00961559712684505,0.00233968353514393
latest_tag_is_prerelease,release,0.003210198121398681,0.0010249059204940486
latest_tag_is_stable,release,0.003087852237745677,0.0007107794894289503
has_deployments,release,0.002579524824374461,0.0007530522754754303
compiled_ratio,language,0.0018951772041992387,0.0006378773750721836
repo_age_days,maintenance,0.0013821138211382237,0.0004767627764571131
has_IssuesEvent,event,0.00116110190228114,0.0004129846734340253
subscribers_count,popularity,0.0008177440997711339,0.0005048024354696214
stable_tag_ratio,release,0.0006780329939221767,0.00022108097429348038
has_PullRequestEvent,event,0.0006164653879548417,0.00029331698088690984
total_contributions,contributor,0.0005075380850896279,0.0005516840047213092
num_deployments,release,0.0004704396558528723,0.00024385517692679975
semver_tag_ratio,release,0.00044754913568553214,0.00017511884342395385
has_IssueCommentEvent,event,0.0004167653327018776,0.00021535213289179895
contribution_entropy,contributor,0.00037887757518353753,0.00017086724063321496
has_projects,governance,0.00035519772673455743,0.00017009978684410685
has_pages,governance,0.0003551977267345537,0.00019188958530497296
governance_openness_score,governance,0.00033941116110191015,0.0002512247290684154
top3_contribution_ratio,contributor,0.00031730996921622474,0.00018317858968328843
stars_per_repo_age_day,popularity,0.00030862735811828894,0.00014794168383194377
language_entropy,language,0.00021627594916728092,0.0001681917624003151
open_issues_to_stars_ratio,popularity,0.00020285736837953502,0.00028656095544974167
release_recency_score,release,0.00018312416133872504,0.0001053568471921292
num_major_versions,release,0.00017680953508565725,0.00018103687668499828
num_minor_versions,release,0.00016812692398770663,0.0001385288000150895
top1_contribution_share,contributor,0.00015944431288976711,0.00011139321090738118
top1_contribution_ratio,contributor,0.00015944431288976711,0.00011139321090738118
fork_interest_efficiency,popularity,0.0001357644644407833,0.0001032059933928903
has_discussions,governance,0.00013102849475096583,8.01236248508922e-05
has_wiki,governance,0.00010103402004894014,7.780390894529707e-05
subscribers_to_stars_ratio,popularity,8.682611097955798e-05,0.00021902970914060716
IssuesEvent_ratio,event,8.682611097955798e-05,0.00010489457157079905
bus_factor_risk,contributor,8.287946957141745e-05,7.305018960567068e-05
non_external_activity_ratio,event,7.261820191018694e-05,4.653691048380839e-05
external_interest_event_ratio,event,7.261820191018324e-05,4.653691048380663e-05
num_unique_refs,release,6.788223222037685e-05,8.242341136446767e-05
WatchEvent_ratio,event,6.70929039387591e-05,5.539375186525971e-05
activity_diversity_score,event,5.998894940406988e-05,7.07054879676751e-05
num_unique_event_types,event,5.762096455916854e-05,5.8223328142433197e-05
