feature,family,mean_abs_shap
has_IssueCommentEvent,event,0.039748069718897557
is_recently_pushed_30d,maintenance,0.029718436600688146
has_PullRequestEvent,event,0.026530773103638113
push_update_consistency,maintenance,0.019979033931588647
contribution_entropy,contributor,0.01959700963737773
has_discussions,governance,0.018556644473703643
latest_tag_is_stable,release,0.017799709070793396
distributed_contribution_score,contributor,0.017693382024703854
is_recently_pushed_90d,maintenance,0.01748649402025915
semver_tag_ratio,release,0.01685103597612619
top3_contribution_ratio,contributor,0.0154707883131854
top1_contribution_share,contributor,0.013905933050747136
top1_contribution_ratio,contributor,0.013865537839186686
maintainer_activity_score,maintenance,0.013470904600398818
stable_tag_ratio,release,0.013351708977272317
has_projects,governance,0.012686037830843723
bus_factor_risk,contributor,0.012484035663826156
event_type_entropy,event,0.012402476178466173
has_deployments,release,0.012249782418863115
activity_diversity_score,event,0.011864361393968082
contributor_depth_score,contributor,0.01166860680430128
release_maturity_score,release,0.011658706789148635
num_unique_event_types,event,0.011480888131501667
is_monolingual,language,0.011443411112942167
top5_contribution_share,contributor,0.011142844913070384
has_IssuesEvent,event,0.010101643999592845
num_deployments,release,0.009994843049733587
num_tags,release,0.009953302160083189
contribution_gini,contributor,0.00894151037832153
freshness_score,maintenance,0.008838886712602542
development_ratio,event,0.00717589599085781
is_stale_365d,maintenance,0.006865629298167373
IssueCommentEvent_ratio,event,0.006793444408750055
collaboration_event_score,event,0.006689404819137086
healthy_activity_score,event,0.0065819011208996395
num_events,event,0.005945928431858874
external_interest_event_ratio,event,0.005362949600094582
governance_openness_score,governance,0.005305796950590422
has_issues,governance,0.005229857914194822
PullRequestEvent_ratio,event,0.0051932017374121744
release_recency_score,release,0.00491301408374477
dominant_event_ratio,event,0.004796337387646262
non_external_activity_ratio,event,0.004740567262697699
interaction_ratio,event,0.0047398614645675985
latest_tag_is_prerelease,release,0.004723779532636096
has_pages,governance,0.0042460320414836475
num_major_versions,release,0.004013707332965129
last_push_recency_days,maintenance,0.004000064748049938
num_minor_versions,release,0.003932862665297397
has_wiki,governance,0.0035201262264894493
update_push_gap_days,maintenance,0.003442557233427222
adoption_efficiency,popularity,0.0033826998340703786
primary_language_ratio,language,0.0029239053599591836
active_release_score,release,0.002674802513833427
tag_release_velocity,release,0.0024779048659772846
prerelease_tag_ratio,release,0.002352301550104752
median_contributions,contributor,0.002322888785326896
WatchEvent_ratio,event,0.002179857120947437
fork_interest_efficiency,popularity,0.002103886617520548
compiled_ratio,language,0.002025863166700843
archived,governance,0.0019584557965612475
minor_lang_ratio,language,0.0019223219361106832
language_entropy,language,0.0018074051143068574
top2_ratio,language,0.001804206846644771
stars_per_repo_age_day,popularity,0.0017892659632116523
subscribers_count,popularity,0.0017188610240556333
top3_ratio,language,0.0017060775743758414
contributors_to_stars_ratio,contributor,0.0017035757035451338
open_issues_count,governance,0.0016072482103601416
negative_repo_state,governance,0.0015968416551511526
forks_to_stars_ratio,popularity,0.0015918204684499386
issue_burden_score,popularity,0.0015638637583558254
total_contributions,contributor,0.0014941819141619007
stargazers_count,popularity,0.001472378253411274
last_update_recency_days,maintenance,0.0014574436487040984
forks_count,popularity,0.0013859394390546087
recent_event_density,event,0.0013775071993862933
forks_per_repo_age_day,popularity,0.0013185134129811453
network_count,popularity,0.0012851973904294935
IssuesEvent_ratio,event,0.0012429709578846329
num_unique_refs,release,0.0012378966634521277
subscribers_to_stars_ratio,popularity,0.0011848634518975014
release_quality_score,release,0.0011464434451910197
forks_per_size,popularity,0.0011005752802415887
ForkEvent_ratio,event,0.0008484342424653411
markup_ratio,language,0.0008459587608220018
infra_ratio,language,0.0008192229159789766
stars_per_size,popularity,0.0008110866018687783
issues_per_size,governance,0.0007936612386256195
repo_size,governance,0.0006915977038084445
repo_age_days,maintenance,0.0006843060425012758
PushEvent_ratio,event,0.0006450350599100665
open_issues_to_stars_ratio,popularity,0.0005820717459042397
has_downloads,governance,0.0005320197476802085
deployment_recency_days,release,0.0004584259004105382
tag_based_deployment_ratio,release,0.00038990261586921887
num_contributors,contributor,0.000188473736215772
is_recently_updated_90d,maintenance,0.0
has_pull_requests,governance,0.0
allow_forking,governance,0.0
disabled,governance,0.0
